192.168.88.200:58054,17.57.146.57:5223,tcp,161881,50326,212207,2024-10-29 18:42:27
80.94.93.199:5097,82.146.184.218:5060,udp,433,0,433,2024-10-29 18:42:27
192.168.88.200:55524,74.125.133.188:5228,tcp,1575,7754,9329,2024-10-29 18:42:27
192.168.88.200:47048,157.240.27.40:443,tcp,3156,4979,8135,2024-10-29 18:42:27
192.168.88.200:31607,13.228.155.22:443,tcp,4225,5409,9634,2024-10-29 18:42:27
192.168.88.200:15214,3.0.27.31:443,tcp,4899,5969,10868,2024-10-29 18:42:27
192.168.88.200:10940,18.136.178.106:443,tcp,4630,5634,10264,2024-10-29 18:42:27
192.168.88.200:41214,54.169.213.117:3000,tcp,18942,23170,42112,2024-10-29 18:42:27
192.168.88.200:37674,18.142.206.104:3000,tcp,17412,16659,34071,2024-10-29 18:42:27
192.168.88.200:55194,104.21.69.207:2095,tcp,69891,24903,94794,2024-10-29 18:42:27
192.168.88.200:62234,17.57.146.24:5223,tcp,6372,5285,11657,2024-10-29 18:42:27
192.168.88.200:48792,142.250.200.227:80,tcp,10332,6735,17067,2024-10-29 18:42:27
192.168.88.200:35854,17.253.116.253:123,udp,4712,4636,9348,2024-10-29 18:42:27
185.243.5.55:5101,82.146.184.218:5060,udp,435,0,435,2024-10-29 18:42:27
192.168.88.200:57838,108.177.15.188:5228,tcp,2756,5372,8128,2024-10-29 18:42:27
192.168.88.200:53858,34.107.165.5:443,tcp,23662,9057,32719,2024-10-29 18:42:27
192.168.88.200:41236,34.120.88.80:443,tcp,1804,1472,3276,2024-10-29 18:42:27
201.68.62.168:1081,82.146.184.218:30038,udp,27492,0,27492,2024-10-29 18:42:27
192.168.88.200:53095,17.57.146.23:5223,tcp,25895,6286,32181,2024-10-29 18:42:27
192.168.88.200:61129,157.240.27.11:443,tcp,9634,7562,17196,2024-10-29 18:42:27
192.168.88.200:61685,52.98.200.194:443,tcp,3632,5073,8705,2024-10-29 18:42:27
192.168.88.200:55273,52.98.200.178:443,tcp,3667,4969,8636,2024-10-29 18:42:27
192.168.88.200:55274,52.98.200.178:443,tcp,4033,4969,9002,2024-10-29 18:42:27
80.94.93.199:5080,82.146.184.218:5060,udp,435,0,435,2024-10-29 18:42:27
192.168.88.200:56679,157.240.27.11:443,tcp,12825,7630,20455,2024-10-29 18:42:27
192.168.88.200:60084,185.125.148.96:443,udp,208694,41201580,41410274,2024-10-29 18:42:27
192.168.88.200:59225,185.125.157.32:443,udp,291308,60227162,60518470,2024-10-29 18:42:27
192.168.88.200:30038,186.249.155.149:30724,udp,24840,0,24840,2024-10-29 18:42:27
186.249.155.149:30724,82.146.184.218:30038,udp,12798,0,12798,2024-10-29 18:42:27
192.168.88.200:40218,5.150.156.117:5228,tcp,1164,312,1476,2024-10-29 18:42:27
192.168.88.200:63223,169.136.87.124:25601,tcp,962,1079,2041,2024-10-29 18:42:27
192.168.88.200:63215,38.90.96.96:5223,tcp,32692,115448,148140,2024-10-29 18:42:27
192.168.88.200:63225,157.240.27.11:443,tcp,10192,7755,17947,2024-10-29 18:42:27
192.168.88.200:62121,157.240.27.18:443,udp,827377,1233310,2060687,2024-10-29 18:42:27
192.168.88.200:63227,157.240.27.30:5222,tcp,6579,1577,8156,2024-10-29 18:42:27
192.168.88.200:63226,157.240.27.3:443,tcp,344126,28960,373086,2024-10-29 18:42:27
192.168.88.200:53550,185.125.148.81:443,udp,213098,15184682,15397780,2024-10-29 18:42:27
192.168.88.200:63128,185.125.157.17:443,udp,183818,11455399,11639217,2024-10-29 18:42:27
192.168.88.200:53127,40.101.92.18:443,tcp,2763,5021,7784,2024-10-29 18:42:27
192.168.88.200:51617,157.240.27.63:443,udp,72706,634121,706827,2024-10-29 18:42:27
192.168.88.200:56730,157.240.27.175:5222,tcp,3221,1309,4530,2024-10-29 18:42:27
192.168.88.200:54698,157.240.30.54:443,udp,855,1826,2681,2024-10-29 18:42:27
192.168.88.200:57739,157.240.30.54:443,udp,855,1826,2681,2024-10-29 18:42:27
192.168.88.200:56604,157.240.27.54:443,udp,855,1826,2681,2024-10-29 18:42:27
192.168.88.200:49590,157.240.27.63:443,udp,238127,31594,269721,2024-10-29 18:42:27
192.168.88.200:55322,52.98.159.2:443,tcp,3516,5021,8537,2024-10-29 18:42:27
192.168.88.200:27390,54.254.90.185:32100,udp,452,168,620,2024-10-29 18:42:27
192.168.88.200:27390,3.124.97.151:32100,udp,452,208,660,2024-10-29 18:42:27
192.168.88.200:27390,13.38.179.104:32100,udp,452,208,660,2024-10-29 18:42:27
192.168.88.200:63369,185.125.148.81:443,udp,8359,596224,604583,2024-10-29 18:42:27
192.168.88.200:30038,209.14.148.253:31698,udp,15640,0,15640,2024-10-29 18:42:27
209.14.148.253:31757,82.146.184.218:30038,udp,8058,0,8058,2024-10-29 18:42:27
192.168.88.200:61760,52.98.200.146:443,tcp,2560,5021,7581,2024-10-29 18:42:27
192.168.88.200:54442,185.125.157.17:443,udp,9326,692064,701390,2024-10-29 18:42:27
192.168.88.200:55327,52.97.173.2:443,tcp,737,4603,5340,2024-10-29 18:42:27
192.168.88.200:55328,52.98.200.210:443,tcp,737,4603,5340,2024-10-29 18:42:27
192.168.88.200:60777,3.255.31.202:443,tcp,23608,6526,30134,2024-10-29 18:42:27
192.168.88.200:55329,52.98.200.242:443,tcp,801,4603,5404,2024-10-29 18:42:27
192.168.88.200:55330,40.101.92.178:443,tcp,737,4603,5340,2024-10-29 18:42:27
192.168.88.200:23954,13.38.179.104:32100,udp,452,208,660,2024-10-29 18:42:27
192.168.88.200:23954,3.124.97.151:32100,udp,452,208,660,2024-10-29 18:42:27
192.168.88.200:61139,35.154.111.35:443,tcp,15511,8456,23967,2024-10-29 18:42:27
192.168.88.200:41636,201.66.111.120:42044,udp,2112,2244,4356,2024-10-29 18:42:27
192.168.88.200:30038,201.68.62.168:30228,udp,7360,0,7360,2024-10-29 18:42:27
192.168.88.200:30038,192.168.15.45:30228,udp,7360,0,7360,2024-10-29 18:42:27
192.168.88.200:24562,13.38.179.104:32100,udp,452,208,660,2024-10-29 18:42:27
192.168.88.200:24562,54.254.90.185:32100,udp,452,208,660,2024-10-29 18:42:27
